heliocentric,radial_velocity,standard_error
0,14035.794,-2.9,2.0
1,14036.827,-5.1,2.0
2,14057.743999999999,-6.4,2.0
3,14693.02,-2.5,1.0
4,15524.755,-5.2,2.0
5,16259.792,6.8,2.0
6,16571.961,-2.4,2.0
7,16646.711,-5.3,2.0
8,17710.75,1.4,1.0
9,17716.68,4.4,1.0
10,17795.58,10.5,1.25
11,17968.84,-2.3,1.0
12,17970.88,-2.0,1.0
13,17989.94,-3.7,1.0
14,17996.8,-5.3,1.0
15,18031.91,-5.7,1.0
16,18051.927,-5.3,2.0
17,18066.78,-5.2,1.25
18,18085.67,-6.2,1.25
19,18087.67,-5.6,1.0
20,18115.59,-4.5,2.0
21,18129.61,-6.0,1.25
22,18138.61,-4.0,1.25
23,18192.54,1.2,1.0
24,18314.97,10.1,1.0
25,18337.78,6.7,1.0
26,18355.85,7.5,1.25
27,18386.71,4.3,1.25
28,18529.56,-5.0,2.0
29,18549.56,-5.7,1.0
30,18713.78,6.8,2.0
31,18727.7,8.2,1.25
32,18742.82,9.5,1.25
33,18136.707,-4.6,2.0
34,23175.708,7.4,1.0
35,27928.875,-4.5,2.0
36,27936.853,-4.7,1.0
37,27958.822999999997,-6.5,1.0
38,27972.782000000003,-6.1,2.0
39,27975.804,-6.6,1.0
40,28989.942000000003,-4.7,1.0
41,29011.84,-4.5,1.0
42,29037.78,-1.5,1.0
43,29277.002999999997,1.1,1.0
44,29278.019,0.7,1.0
45,29278.991,1.5,1.0
46,29317.042,-0.8,1.0
47,29339.009,-1.8,1.0
48,29359.009,-3.3,1.0
49,29383.941000000003,-2.7,2.0
50,29455.688,-4.7,1.0
51,29695.005,7.7,1.0
52,29709.01,7.2,1.0
53,29758.835,2.4,1.0
54,29767.831000000002,1.9,1.0
55,29776.852000000003,0.6,1.0
56,29793.74,-1.3,1.0
57,29800.732000000004,-1.6,2.0
58,30097.93,8.7,1.0
59,30098.882999999998,8.0,1.0
60,30104.922000000002,8.9,1.0
61,30112.906000000003,8.6,1.0
62,30121.857999999997,10.7,2.0
63,30154.752999999997,11.2,1.0
64,30158.696,11.1,1.0
65,30402.022999999997,-4.9,1.0
66,30404.0,-5.2,1.0
67,30418.049,-5.8,1.0
68,30422.0,-5.1,1.0
69,30427.015,-5.4,1.0
70,30435.953999999998,-5.2,1.0
71,30444.985,-4.2,1.0
72,30456.895,-4.7,1.0
73,30468.892000000003,-5.1,2.0
74,30474.892999999996,-4.2,1.0
75,30481.84,-5.3,1.0
76,30511.762000000002,-3.4,1.0
77,30514.769,-2.9,1.0
78,30530.703999999998,-0.5,2.0
79,30541.697999999997,-0.4,2.0
80,30557.679,3.4,2.0
81,30595.659,8.3,1.0
82,30767.004,0.9,2.0
83,30783.998,-0.9,1.0
84,30802.992000000002,-2.0,2.0
85,30808.889,-3.1,1.0
86,30824.932,-3.0,1.0
87,30862.767999999996,-4.8,1.0
88,31159.0,9.5,2.0
89,31170.963,8.6,1.0
90,31216.898999999998,4.3,1.0
91,31249.798,1.2,1.0
92,31299.68,-2.9,1.0
93,31484.071,-5.1,2.0
94,31511.032000000003,-2.5,1.0
95,31546.982999999997,2.3,1.0
96,31567.859,6.1,1.0
97,31599.757,10.1,1.0
98,31615.708,12.0,1.0
99,31633.713,10.0,1.0
100,31659.682999999997,9.1,1.0
101,31677.681,7.2,1.0
102,31699.655,5.4,1.0
103,31834.992000000002,-3.9,1.0
104,31853.037999999997,-4.2,1.0
105,31881.016,-4.6,1.0
106,31924.876,-6.1,1.0
107,31946.807999999997,-5.5,1.0
108,31977.728,-4.1,1.0
109,31999.697,-2.3,1.0
110,32032.681,1.7,2.0
111,32050.672000000002,3.0,2.0
112,32072.651,8.6,2.0
113,32365.71,-4.5,1.0
