DER_mass_MMC DER_mass_transverse_met_lep DER_mass_vis DER_pt_h DER_deltaeta_jet_jet DER_mass_jet_jet DER_prodeta_jet_jet DER_deltar_tau_lep DER_pt_tot DER_sum_pt DER_pt_ratio_lep_tau DER_met_phi_centrality DER_lep_eta_centrality
 108.651   37.218   52.550  117.941    4.435  399.279   -4.164    1.703   58.382  191.710    1.272    1.407    0.950
  80.948   13.505   53.030  237.231    0.478  403.236    1.500    0.670   27.379  623.600    0.667    1.302    0.000
  67.215    3.450   38.062  128.067    2.186  445.306   -0.946    1.023  101.927  447.916    0.557    1.116    0.939
  84.713   92.093   67.166   22.689    1.422  320.492   -0.187    2.019    4.512  330.805    2.231   -1.089    0.081
 155.046   89.290  116.184   70.943    0.874  157.532    2.817    2.742  139.120  460.597    3.183    0.262    0.000
 141.081   32.788  108.530  239.136    0.267   74.176    4.257    1.467   55.048  462.603    4.683    0.656    0.000
  80.988    2.069   49.486  149.922    1.958  237.186   -0.663    1.361    1.782  291.436    3.015    0.966    0.831
 133.260   83.362  108.753   62.129    0.978  146.973    3.903    1.925   27.357  265.940    0.707   -1.278    0.070
  64.449   61.297   46.515   73.431    0.321  133.543    7.248    1.560   58.174  189.526    0.994    0.061    0.000
 120.620    6.245   69.887  104.689    2.667  297.725    0.397    1.618    2.644  273.960    0.400    0.827    0.386
 105.653   19.042   75.992   91.685    2.015  157.660    0.830    1.519   15.208  231.037    0.566    0.353    0.483
 123.408   11.774   50.658  208.490    2.164  365.184    2.645    1.213   62.542  405.130    0.454    1.400    0.948
 114.706    0.708   56.968  143.060    5.735 1163.939   -8.139    1.767   15.465  261.296    1.581    1.016    0.975
  97.412   19.775   55.133   68.799    2.185  187.227   -0.792    2.390    2.092  180.992    1.441    1.344    0.754
 205.978   27.219  121.229  138.509    1.204   71.747    2.467    2.117   43.276  289.875    0.335    1.373    0.042
 272.281  100.251  225.532  131.757    3.209  347.616   -1.951    2.548    4.864  298.131    1.426   -0.013    0.225
  92.964   50.497   34.379  156.815    0.938  142.828    0.220    1.233   31.833  240.717    1.635    1.355    0.000
 107.037   21.438   59.263  215.858    0.534   50.056    0.457    1.056   27.208  301.912    1.579    1.405    0.000
  56.785    1.582   27.686  152.468    1.730  109.687   -0.399    0.944   55.000  203.777    1.922    1.039    0.127
 105.762    5.377   42.955  277.694    0.640  107.888    0.345    0.828    6.419  394.746    0.389    0.398    0.000
  87.654   18.376   68.028   80.672    0.476   45.183    3.789    1.571    2.925  164.515    0.867    0.020    0.000
  64.502   17.797   49.463   77.316    1.331   55.232   -0.243    1.176    4.482  164.322    1.256    0.110    0.017
  54.747   53.819   42.853   60.190    3.598  389.226   -2.789    1.256   25.996  244.806    2.406   -0.123    0.147
 124.541   60.093   85.768   30.453    2.879  349.934   -0.468    2.852   58.273  353.562    0.878   -1.130    0.008
 137.668  168.448  103.619  113.914    4.456  681.711   -4.847    2.169   43.765  320.589    7.011    0.508    0.920
  82.391    9.057   50.459   80.941    2.375  346.560   -1.318    1.963   45.350  372.509    1.689    1.190    0.994
