heliocentric,radial_velocity,std_error
14035.794,-2.9,2.0
14036.827,-5.1,2.0
14057.743999999999,-6.4,2.0
14693.02,-2.5,1.0
15524.755,-5.2,2.0
16259.792,6.8,2.0
16571.961,-2.4,2.0
16646.711,-5.3,2.0
17710.75,1.4,1.0
17716.68,4.4,1.0
17795.58,10.5,1.25
17968.84,-2.3,1.0
17970.88,-2.0,1.0
17989.94,-3.7,1.0
17996.8,-5.3,1.0
18031.91,-5.7,1.0
18051.927,-5.3,2.0
18066.78,-5.2,1.25
18085.67,-6.2,1.25
18087.67,-5.6,1.0
18115.59,-4.5,2.0
18129.61,-6.0,1.25
18138.61,-4.0,1.25
18192.54,1.2,1.0
18314.97,10.1,1.0
18337.78,6.7,1.0
18355.85,7.5,1.25
18386.71,4.3,1.25
18529.56,-5.0,2.0
18549.56,-5.7,1.0
18713.78,6.8,2.0
18727.7,8.2,1.25
18742.82,9.5,1.25
18136.707,-4.6,2.0
23175.708,7.4,1.0
27928.875,-4.5,2.0
27936.853,-4.7,1.0
27958.822999999997,-6.5,1.0
27972.782000000003,-6.1,2.0
27975.804,-6.6,1.0
28989.942000000003,-4.7,1.0
29011.84,-4.5,1.0
29037.78,-1.5,1.0
29277.002999999997,1.1,1.0
29278.019,0.7,1.0
29278.991,1.5,1.0
29317.042,-0.8,1.0
29339.009,-1.8,1.0
29359.009,-3.3,1.0
29383.941000000003,-2.7,2.0
29455.688,-4.7,1.0
29695.005,7.7,1.0
29709.01,7.2,1.0
29758.835,2.4,1.0
29767.831000000002,1.9,1.0
29776.852000000003,0.6,1.0
29793.74,-1.3,1.0
29800.732000000004,-1.6,2.0
30097.93,8.7,1.0
30098.882999999998,8.0,1.0
30104.922000000002,8.9,1.0
30112.906000000003,8.6,1.0
30121.857999999997,10.7,2.0
30154.752999999997,11.2,1.0
30158.696,11.1,1.0
30402.022999999997,-4.9,1.0
30404.0,-5.2,1.0
30418.049,-5.8,1.0
30422.0,-5.1,1.0
30427.015,-5.4,1.0
30435.953999999998,-5.2,1.0
30444.985,-4.2,1.0
30456.895,-4.7,1.0
30468.892000000003,-5.1,2.0
30474.892999999996,-4.2,1.0
30481.84,-5.3,1.0
30511.762000000002,-3.4,1.0
30514.769,-2.9,1.0
30530.703999999998,-0.5,2.0
30541.697999999997,-0.4,2.0
30557.679,3.4,2.0
30595.659,8.3,1.0
30767.004,0.9,2.0
30783.998,-0.9,1.0
30802.992000000002,-2.0,2.0
30808.889,-3.1,1.0
30824.932,-3.0,1.0
30862.767999999996,-4.8,1.0
31159.0,9.5,2.0
31170.963,8.6,1.0
31216.898999999998,4.3,1.0
31249.798,1.2,1.0
31299.68,-2.9,1.0
31484.071,-5.1,2.0
31511.032000000003,-2.5,1.0
31546.982999999997,2.3,1.0
31567.859,6.1,1.0
31599.757,10.1,1.0
31615.708,12.0,1.0
31633.713,10.0,1.0
31659.682999999997,9.1,1.0
31677.681,7.2,1.0
31699.655,5.4,1.0
31834.992000000002,-3.9,1.0
31853.037999999997,-4.2,1.0
31881.016,-4.6,1.0
31924.876,-6.1,1.0
31946.807999999997,-5.5,1.0
31977.728,-4.1,1.0
31999.697,-2.3,1.0
32032.681,1.7,2.0
32050.672000000002,3.0,2.0
32072.651,8.6,2.0
32365.71,-4.5,1.0
